Parameters;Precisao;Revocacao;F1-Score;Tempo
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,08_scale;0.9912;0.9354;0.9625;0.0549
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,09_scale;0.9920;0.9245;0.9571;0.0602
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,1_scale;0.9928;0.9121;0.9507;0.0706
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,2_scale;0.9962;0.7975;0.8858;0.1255
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,3_scale;0.9971;0.6968;0.8203;0.1862
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,4_scale;0.9976;0.5952;0.7455;0.2457
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,5_scale;0.9978;0.4939;0.6605;0.3009
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,6_scale;0.9982;0.3913;0.5620;0.3622
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,7_scale;0.9983;0.2894;0.4484;0.4150
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,8_scale;0.9985;0.1943;0.3250;0.4540
Rivers_VAE_2000_6000_5_OCSVM_RBF_0,9_scale;0.9987;0.0932;0.1698;0.4915
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,0001_scale;0.5465;0.9961;0.7049;0.0058
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,0005_scale;0.5432;0.9959;0.7023;0.0060
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,001_scale;0.5435;0.9959;0.7025;0.0062
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,005_scale;0.5674;0.9927;0.7216;0.0091
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,01_scale;0.6229;0.9890;0.7637;0.0104
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,02_scale;0.6950;0.9829;0.8112;0.0168
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,03_scale;0.7125;0.9771;0.8199;0.0228
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,04_scale;0.7847;0.9710;0.8655;0.0296
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,05_scale;0.8404;0.9635;0.8955;0.0348
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,06_scale;0.8675;0.9550;0.9069;0.0450
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,07_scale;0.8866;0.9463;0.9134;0.0486
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,08_scale;0.9120;0.9382;0.9237;0.0528
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,09_scale;0.9337;0.9282;0.9303;0.0587
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,1_scale;0.9450;0.9159;0.9296;0.0714
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,2_scale;0.9777;0.8149;0.8886;0.1271
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,3_scale;0.9854;0.7104;0.8252;0.1913
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,4_scale;0.9898;0.6048;0.7506;0.2428
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,5_scale;0.9918;0.5079;0.6715;0.2965
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,6_scale;0.9937;0.4058;0.5760;0.3585
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,7_scale;0.9942;0.3087;0.4709;0.4053
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,8_scale;0.9947;0.2086;0.3447;0.4476
Rivers_VAE_2000_6000_1_OCSVM_RBF_0,9_scale;0.9938;0.1015;0.1840;0.4745
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,0001_scale;0.5489;0.9928;0.7047;0.0056
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,0005_scale;0.5427;0.9962;0.7013;0.0053
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,001_scale;0.5432;0.9963;0.7019;0.0052
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,005_scale;0.5726;0.9947;0.7261;0.0076
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,01_scale;0.6847;0.9912;0.8081;0.0104
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,02_scale;0.7397;0.9869;0.8448;0.0170
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,03_scale;0.7458;0.9831;0.8473;0.0240
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,04_scale;0.8365;0.9778;0.8996;0.0301
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,05_scale;0.8972;0.9691;0.9304;0.0348
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,06_scale;0.9335;0.9594;0.9449;0.0440
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,07_scale;0.9614;0.9498;0.9546;0.0471
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,08_scale;0.9774;0.9390;0.9577;0.0557
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,09_scale;0.9859;0.9277;0.9559;0.0582
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,1_scale;0.9883;0.9164;0.9510;0.0698
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,2_scale;0.9940;0.8079;0.8913;0.1258
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,3_scale;0.9957;0.7000;0.8221;0.1885
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,4_scale;0.9965;0.5986;0.7479;0.2409
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,5_scale;0.9970;0.4957;0.6621;0.2938
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,6_scale;0.9975;0.3993;0.5702;0.3607
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,7_scale;0.9972;0.2976;0.4583;0.4089
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,8_scale;0.9977;0.2001;0.3333;0.4496
Rivers_VAE_2000_6000_2_OCSVM_RBF_0,9_scale;0.9974;0.0953;0.1739;0.4882
